sampler,steps,lpips_cfg_5_to_7_5,lpips_cfg_7_5_to_12
ddim,10,0.16525958478450775,0.15660728514194489
ddim,10,0.19246505200862885,0.3319109082221985
ddim,10,0.21234162151813507,0.3376407325267792
ddim,10,0.2465190887451172,0.29392632842063904
ddim,10,0.13283291459083557,0.3577621281147003
ddim,10,0.19380389153957367,0.21428127586841583
ddim,10,0.09547720849514008,0.17391973733901978
ddim,10,0.22931313514709473,0.2757248878479004
ddim,10,0.1685854196548462,0.1862625777721405
ddim,10,0.32102900743484497,0.1626899242401123
ddim,10,0.34924352169036865,0.34794411063194275
ddim,10,0.27929115295410156,0.3118063509464264
ddim,10,0.10075385868549347,0.26931577920913696
ddim,10,0.06520984321832657,0.16606593132019043
ddim,10,0.25605177879333496,0.32003581523895264
ddim,10,0.1388276219367981,0.24016287922859192
ddim,10,0.1689550280570984,0.2258603274822235
ddim,10,0.18785899877548218,0.3623813986778259
ddim,10,0.12042038142681122,0.16284875571727753
ddim,10,0.23668386042118073,0.17551113665103912
ddim,10,0.16863644123077393,0.2869345545768738
ddim,10,0.229514479637146,0.25164422392845154
ddim,10,0.09949617832899094,0.15025700628757477
ddim,10,0.23035669326782227,0.2705105245113373
ddim,10,0.18119502067565918,0.28770363330841064
ddim,10,0.199746236205101,0.2672376334667206
ddim,10,0.1539425104856491,0.21928387880325317
ddim,10,0.30519816279411316,0.4198168218135834
ddim,10,0.15929631888866425,0.22814539074897766
ddim,10,0.18847818672657013,0.15059009194374084
ddim,10,0.30350935459136963,0.35290032625198364
ddim,10,0.21272079646587372,0.33734017610549927
ddim,10,0.4019266366958618,0.36143606901168823
ddim,10,0.24348768591880798,0.2592555582523346
ddim,10,0.09444240480661392,0.22563140094280243
ddim,10,0.136213019490242,0.1626051664352417
ddim,10,0.07590115070343018,0.1332525908946991
ddim,10,0.17017632722854614,0.30268970131874084
ddim,10,0.2826426327228546,0.30286404490470886
ddim,10,0.25312870740890503,0.3941269516944885
ddim,10,0.1948411762714386,0.2984301745891571
ddim,10,0.1885194182395935,0.5100955367088318
ddim,10,0.044126883149147034,0.1783156841993332
ddim,10,0.06074151024222374,0.08297242969274521
ddim,10,0.1617293357849121,0.2572437524795532
ddim,10,0.04895343258976936,0.16828469932079315
ddim,10,0.16615773737430573,0.34437114000320435
ddim,10,0.10297068953514099,0.25648289918899536
ddim,10,0.06379133462905884,0.12039050459861755
ddim,10,0.048418156802654266,0.15055416524410248
ddim,20,0.10633096843957901,0.19688329100608826
ddim,20,0.2971959114074707,0.38681840896606445
ddim,20,0.16316860914230347,0.31778669357299805
ddim,20,0.20494714379310608,0.19181489944458008
ddim,20,0.13771562278270721,0.14836552739143372
ddim,20,0.13144975900650024,0.2544908821582794
ddim,20,0.1546398550271988,0.1908251941204071
ddim,20,0.21776844561100006,0.23229742050170898
ddim,20,0.10644357651472092,0.1958208978176117
ddim,20,0.15621629357337952,0.14675208926200867
ddim,20,0.3089013695716858,0.31107401847839355
ddim,20,0.23740652203559875,0.4598173201084137
ddim,20,0.13611435890197754,0.20196887850761414
ddim,20,0.09807713329792023,0.19980794191360474
ddim,20,0.2653138041496277,0.31284376978874207
ddim,20,0.07543792575597763,0.11547350138425827
ddim,20,0.11782723665237427,0.21828049421310425
ddim,20,0.3061748743057251,0.4151259958744049
