sampler,guidance,lpips_10_to_20,lpips_20_to_30
ddim,5.0,0.2478984296321869,0.06393470615148544
ddim,5.0,0.40196090936660767,0.23366330564022064
ddim,5.0,0.14464782178401947,0.08093064278364182
ddim,5.0,0.28872591257095337,0.1616285890340805
ddim,5.0,0.40602779388427734,0.10108024626970291
ddim,5.0,0.23941224813461304,0.08499736338853836
ddim,5.0,0.09142199158668518,0.06538109481334686
ddim,5.0,0.20835013687610626,0.16746944189071655
ddim,5.0,0.2769317030906677,0.046235937625169754
ddim,5.0,0.22185808420181274,0.04803834110498428
ddim,5.0,0.48403438925743103,0.19688773155212402
ddim,5.0,0.380482017993927,0.08469736576080322
ddim,5.0,0.1762627214193344,0.0852086991071701
ddim,5.0,0.14536328613758087,0.06566543132066727
ddim,5.0,0.4328533709049225,0.276098370552063
ddim,5.0,0.1828298568725586,0.020846396684646606
ddim,5.0,0.1956014335155487,0.06377754360437393
ddim,5.0,0.3639216423034668,0.17869611084461212
ddim,5.0,0.1615179032087326,0.0655626431107521
ddim,5.0,0.26797163486480713,0.022824497893452644
ddim,5.0,0.15204226970672607,0.07439196854829788
ddim,5.0,0.27790674567222595,0.11173085868358612
ddim,5.0,0.29953086376190186,0.05436243489384651
ddim,5.0,0.36955583095550537,0.07786776125431061
ddim,5.0,0.22227919101715088,0.07954862713813782
ddim,5.0,0.21478897333145142,0.11593005806207657
ddim,5.0,0.1598263382911682,0.05235470086336136
ddim,5.0,0.24189607799053192,0.22313819825649261
ddim,5.0,0.24082645773887634,0.08797768503427505
ddim,5.0,0.30298417806625366,0.04299305006861687
ddim,5.0,0.4134332537651062,0.14443686604499817
ddim,5.0,0.24619460105895996,0.06520645320415497
ddim,5.0,0.44115322828292847,0.05401349067687988
ddim,5.0,0.2765114903450012,0.07987608015537262
ddim,5.0,0.14869068562984467,0.05609641596674919
ddim,5.0,0.2812804579734802,0.0709574818611145
ddim,5.0,0.10032524913549423,0.06525987386703491
ddim,5.0,0.3329073190689087,0.03335534408688545
ddim,5.0,0.42706429958343506,0.08768527954816818
ddim,5.0,0.3381883502006531,0.14315101504325867
ddim,5.0,0.2820747494697571,0.20123548805713654
ddim,5.0,0.2945448160171509,0.043701935559511185
ddim,5.0,0.13510215282440186,0.026516234502196312
ddim,5.0,0.07480521500110626,0.08119120448827744
ddim,5.0,0.5097343921661377,0.39220306277275085
ddim,5.0,0.1493701934814453,0.14026868343353271
ddim,5.0,0.294731080532074,0.28432056307792664
ddim,5.0,0.15593686699867249,0.03243498504161835
ddim,5.0,0.20520958304405212,0.037647880613803864
ddim,5.0,0.12270215898752213,0.02896294929087162
ddim,7.5,0.18793846666812897,0.08600762486457825
ddim,7.5,0.4532771110534668,0.21467705070972443
ddim,7.5,0.275016188621521,0.07219216227531433
ddim,7.5,0.30338430404663086,0.17896120250225067
ddim,7.5,0.4212387800216675,0.13230574131011963
ddim,7.5,0.2834279239177704,0.050979260355234146
ddim,7.5,0.18690970540046692,0.11177866905927658
ddim,7.5,0.30649322271347046,0.11109171062707901
ddim,7.5,0.35222041606903076,0.10656888782978058
ddim,7.5,0.4022689759731293,0.04987338185310364
ddim,7.5,0.5250771641731262,0.2218700498342514
ddim,7.5,0.42130911350250244,0.19252492487430573
