sampler,guidance,clip_image_similarity_20_30
ddim,5.0,0.860061526298523
ddim,5.0,0.8731589317321777
ddim,5.0,0.9659754633903503
ddim,5.0,0.9735851287841797
ddim,5.0,0.9398666024208069
ddim,5.0,0.952704906463623
ddim,5.0,0.9757183194160461
ddim,5.0,0.9591402411460876
ddim,5.0,0.9769014120101929
ddim,5.0,0.9877866506576538
ddim,5.0,0.9809514284133911
ddim,5.0,0.9580873250961304
ddim,5.0,0.9593169093132019
ddim,5.0,0.9532840251922607
ddim,5.0,0.9601476192474365
ddim,5.0,0.9904067516326904
ddim,5.0,0.9722414016723633
ddim,5.0,0.9595694541931152
ddim,5.0,0.9474101066589355
ddim,5.0,0.989354133605957
ddim,5.0,0.9883436560630798
ddim,5.0,0.9306257963180542
ddim,5.0,0.9559129476547241
ddim,5.0,0.9894062280654907
ddim,5.0,0.9753156900405884
ddim,5.0,0.9879804253578186
ddim,5.0,0.986357569694519
ddim,5.0,0.9768422842025757
ddim,5.0,0.9785029888153076
ddim,5.0,0.937273383140564
ddim,5.0,0.9659287929534912
ddim,5.0,0.9965075254440308
ddim,5.0,0.9335169196128845
ddim,5.0,0.9764382839202881
ddim,5.0,0.9400137066841125
ddim,5.0,0.9942711591720581
ddim,5.0,0.9793033599853516
ddim,5.0,0.9978693723678589
ddim,5.0,0.9842482805252075
ddim,5.0,0.9906587600708008
ddim,5.0,0.9604074954986572
ddim,5.0,0.9764461517333984
ddim,5.0,0.9902114868164062
ddim,5.0,0.976498007774353
ddim,5.0,0.9395163059234619
ddim,5.0,0.9525775909423828
ddim,5.0,0.9615840911865234
ddim,5.0,0.992159366607666
ddim,5.0,0.9776211977005005
ddim,5.0,0.9817062020301819
ddim,7.5,0.9622434973716736
ddim,7.5,0.9262091517448425
ddim,7.5,0.9282733201980591
ddim,7.5,0.968954861164093
ddim,7.5,0.9467655420303345
ddim,7.5,0.9781246185302734
ddim,7.5,0.9684115648269653
ddim,7.5,0.9901891946792603
ddim,7.5,0.9741675853729248
ddim,7.5,0.9846651554107666
ddim,7.5,0.9808458089828491
ddim,7.5,0.928141176700592
ddim,7.5,0.9673866629600525
ddim,7.5,0.9245381355285645
ddim,7.5,0.9685049653053284
ddim,7.5,0.9895738959312439
ddim,7.5,0.9824117422103882
ddim,7.5,0.9876977205276489
ddim,7.5,0.9617469906806946
ddim,7.5,0.9921468496322632
ddim,7.5,0.9936374425888062
ddim,7.5,0.9316744804382324
ddim,7.5,0.9194334745407104
ddim,7.5,0.9910986423492432
ddim,7.5,0.989958643913269
ddim,7.5,0.9722237586975098
ddim,7.5,0.9852126836776733
ddim,7.5,0.9806560277938843
ddim,7.5,0.9837946891784668
ddim,7.5,0.9590280652046204
ddim,7.5,0.9698424339294434
ddim,7.5,0.941211462020874
ddim,7.5,0.9716139435768127
ddim,7.5,0.9859039187431335
ddim,7.5,0.9855048656463623
ddim,7.5,0.972980797290802
ddim,7.5,0.9668583869934082
ddim,7.5,0.9872732758522034
ddim,7.5,0.9232527017593384
ddim,7.5,0.9819862842559814
ddim,7.5,0.9527621269226074
ddim,7.5,0.9896620512008667
ddim,7.5,0.9945635795593262
ddim,7.5,0.9937587976455688
ddim,7.5,0.9779254794120789
ddim,7.5,0.9531906843185425
ddim,7.5,0.9458211064338684
ddim,7.5,0.9673580527305603
ddim,7.5,0.959998607635498
ddim,7.5,0.9811747074127197
ddim,12.0,0.9163777828216553
ddim,12.0,0.9143708944320679
ddim,12.0,0.9170026779174805
ddim,12.0,0.9687630534172058
ddim,12.0,0.9469856023788452
ddim,12.0,0.9643591642379761
ddim,12.0,0.954871416091919
ddim,12.0,0.973044216632843
ddim,12.0,0.9690631628036499
ddim,12.0,0.9716470241546631
ddim,12.0,0.9811139106750488
ddim,12.0,0.9264098405838013
ddim,12.0,0.9197899103164673
ddim,12.0,0.9434490203857422
ddim,12.0,0.9610400199890137
ddim,12.0,0.9904763698577881
ddim,12.0,0.9127768874168396
ddim,12.0,0.9848562479019165
ddim,12.0,0.8687856793403625
ddim,12.0,0.9840021133422852
ddim,12.0,0.9863024353981018
ddim,12.0,0.9444277882575989
ddim,12.0,0.9037750363349915
ddim,12.0,0.9334865808486938
ddim,12.0,0.9753880500793457
ddim,12.0,0.9611368179321289
ddim,12.0,0.9924482703208923
ddim,12.0,0.9921209812164307
ddim,12.0,0.9660969376564026
ddim,12.0,0.9717243909835815
ddim,12.0,0.940753698348999
ddim,12.0,0.9739851951599121
ddim,12.0,0.9150418043136597
ddim,12.0,0.9728385210037231
ddim,12.0,0.971141517162323
ddim,12.0,0.9740400314331055
ddim,12.0,0.9066460132598877
ddim,12.0,0.9827264547348022
ddim,12.0,0.9182128310203552
ddim,12.0,0.9527044296264648
ddim,12.0,0.9508246779441833
ddim,12.0,0.9852789640426636
ddim,12.0,0.9865692853927612
ddim,12.0,0.9826985001564026
ddim,12.0,0.9538028240203857
ddim,12.0,0.9025248289108276
ddim,12.0,0.9246340990066528
ddim,12.0,0.9516401290893555
ddim,12.0,0.9776837825775146
ddim,12.0,0.9706161618232727
