sampler,guidance,lpips_10_to_20,lpips_20_to_30
euler_a,12,0.558107734,0.378158927
euler_a,12,0.627298295,0.363605559
euler_a,12,0.525275528,0.356024414
euler_a,12,0.288532287,0.223996654
euler_a,12,0.63694942,0.33874172
euler_a,12,0.295812637,0.367837995
euler_a,12,0.591333985,0.395570368
euler_a,12,0.559475064,0.440509468
euler_a,12,0.348029912,0.175250709
euler_a,12,0.384756058,0.467117548
